Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.001696116,2.918,2.876816067,0.041183933,0.003766457,,,,
XGB,Training,0.004006247,3.4,3.463294923,-0.063294923,-0.06035766,,,,
XGB,Training,0.001318889,34.2,34.16368349,0.03631651,0.000779066,,,,
XGB,Training,3.40456E-05,17.2,17.20583486,-0.005834857,-0.025091424,,,,
XGB,Training,1.084028249,28.5,27.45883323,1.041166773,0.617508023,,,,
XGB,Training,0.00068744,2.78,2.753780929,0.026219071,-0.005418258,,,,
XGB,Training,0.020854593,19.2,19.34441119,-0.144411193,-0.110142941,,,,
XGB,Training,0.000439726,17.54,17.56096964,-0.020969645,-0.034380432,,,,
XGB,Training,0.00028183,12.785,12.80178781,-0.016787808,-0.031813821,,,,
XGB,Training,0.004090107,11.3,11.23604605,0.063953946,0.0177416,,,,
XGB,Training,3.15382E-05,16.042,16.03638411,0.005615889,-0.018063505,,,,
XGB,Training,0.001380173,22.1,22.06284932,0.037150678,0.001291038,,,,
XGB,Training,0.000231787,3.015,3.030224567,-0.015224567,-0.030854378,,,,
XGB,Training,0.000727799,10.79,10.76302226,0.026977745,-0.004952621,,,,
XGB,Training,0.06011428,10.669,10.91418214,-0.245182137,-0.171991319,,,,
XGB,Training,0.001389893,16.84,16.80271873,0.037281269,0.001371189,,,,
XGB,Training,0.000164388,1.33,1.34282138,-0.01282138,-0.029379417,,,,
XGB,Training,0.015380455,18.003,17.87898204,0.124017964,0.054606017,,,,
XGB,Training,0.000124096,1.43,1.441139843,-0.011139843,-0.02834737,,,,
XGB,Training,0.028357769,1.65,1.818397652,-0.168397652,-0.124864681,,,,
XGB,Training,0.000187865,25,25.01370638,-0.01370638,-0.029922588,,,,
XGB,Training,0.000166786,1.75,1.762914559,-0.012914559,-0.029436606,,,,
XGB,Training,0.017780398,4.86,4.993343159,-0.133343159,-0.103349912,,,,
XGB,Training,5.107479188,15.22,17.47997327,-2.259973272,-1.408573606,,,,
XGB,Training,0.074540449,36.416,36.14297903,0.273020967,0.146056923,,,,
XGB,Training,0.000740798,3.96,3.987217604,-0.027217604,-0.03821513,,,,
XGB,Training,1.54838E-05,4.7,4.696065059,0.003934941,-0.01909519,,,,
XGB,Training,0.001266841,16.78,16.74440729,0.035592705,0.000334829,,,,
XGB,Training,5.44848E-05,10.076,10.06861862,0.00738138,-0.016979931,,,,
XGB,Training,0.028077469,15.438,15.60556333,-0.167563327,-0.124352612,,,,
XGB,Training,55.63419311,20,27.45883323,-7.458833227,-4.599384813,,,,
XGB,Training,8.87922E-05,22.31,22.30057704,0.009422963,-0.015726905,,,,
XGB,Training,0.656338755,33.1,32.28985263,0.810147366,0.475719377,,,,
XGB,Training,0.007893145,25.67,25.75884337,-0.088843374,-0.076038076,,,,
XGB,Training,0.00174422,22.3,22.34176387,-0.041763865,-0.047142928,,,,
XGB,Training,0.004090107,11.3,11.23604605,0.063953946,0.0177416,,,,
XGB,Training,1.18703E-09,3.1,3.100034453,-3.44533E-05,-0.021531414,,,,
XGB,Training,0.007829868,9.343,9.431486542,-0.088486542,-0.075819069,,,,
XGB,Training,0.008234649,8.938,8.847255032,0.090744968,0.034184646,,,,
XGB,Training,0.000600733,6.95,6.974509848,-0.024509848,-0.036553239,,,,
XGB,Training,0.007557352,10.851,10.93793303,-0.08693303,-0.074865598,,,,
XGB,Training,0.015989178,6.653,6.779448323,-0.126448323,-0.099118192,,,,
XGB,Training,0.012967937,14.531,14.41712315,0.113876851,0.048381888,,,,
